"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-04","Apr-1986","PC","Percentage","0","Units",,,7.9019611,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-05","May-1986","PC","Percentage","0","Units",,,7.8474682,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-06","Jun-1986","PC","Percentage","0","Units",,,7.654083,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-07","Jul-1986","PC","Percentage","0","Units",,,8.1139371,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-08","Aug-1986","PC","Percentage","0","Units",,,8.2403905,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-09","Sep-1986","PC","Percentage","0","Units",,,8.3392152,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-10","Oct-1986","PC","Percentage","0","Units",,,8.3102991,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-11","Nov-1986","PC","Percentage","0","Units",,,8.3194895,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-12","Dec-1986","PC","Percentage","0","Units",,,8.3639443,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-01","Jan-1987","PC","Percentage","0","Units",,,8.186964,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-02","Feb-1987","PC","Percentage","0","Units",,,8.2117362,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-03","Mar-1987","PC","Percentage","0","Units",,,8.4379859,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-04","Apr-1987","PC","Percentage","0","Units",,,8.3012185,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-05","May-1987","PC","Percentage","0","Units",,,8.2025681,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-06","Jun-1987","PC","Percentage","0","Units",,,8.0093683,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-07","Jul-1987","PC","Percentage","0","Units",,,8.0810142,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-08","Aug-1987","PC","Percentage","0","Units",,,8.1063664,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-09","Sep-1987","PC","Percentage","0","Units",,,7.7560337,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-10","Oct-1987","PC","Percentage","0","Units",,,8.0862641,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-11","Nov-1987","PC","Percentage","0","Units",,,7.931724,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1987-12","Dec-1987","PC","Percentage","0","Units",,,7.7284203,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-01","Jan-1988","PC","Percentage","0","Units",,,7.6317139,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-02","Feb-1988","PC","Percentage","0","Units",,,7.4174797,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-03","Mar-1988","PC","Percentage","0","Units",,,7.5074481,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-04","Apr-1988","PC","Percentage","0","Units",,,7.9139607,,
